Full Name,Short Name
Ratna Pharmacy                                              ,Ratna PHAR                                              
Rima Pharmacy                                               ,Rima PHAR                                               
Maa Moni Medical Hall                                       ,Maa Moni MED                                         
Mim Medical Hall                                            ,Mim MED                                              
Nirapad Medicine Mart                                       ,Nirapad MDCN Mart                                       
Rahima Pharmacy                                             ,Rahima PHAR                                             
Jahan Medical Centre                                        ,Jahan MED Centre                                        
Islamia Pharmacy                                            ,Islamia PHAR                                            
Day Night Medical Hall                                      ,Day Night MED                                        
Maa Pharmacy                                                ,Maa PHAR                                                
Rahul Drug House                                            ,Rahul DRG House                                            
ANANNA PHARMACY                                             ,ANANNA PHARMACY                                             
Medi Doc                                                    ,Medi Doc                                                    
Islam Medicine Store                                        ,Islam MDCN STR                                        
Sadiya Pharmacy                                             ,Sadiya PHAR                                             
S S Islam Pharmacy                                          ,S S Islam PHAR                                          
Family Medicine Corner                                      ,Family MDCN CRNR                                      
Al Madina Medicine Corner                                   ,Al Madina MDCN CRNR                                   
Abdullah Medical Hall                                       ,Abdullah MED                                         
Dhaka Pharmacy                                              ,Dhaka PHAR                                              
Zobber Pharmacy                                             ,Zobber PHAR                                             
Joy pharmacy                                                ,Joy pharmacy                                                
Bangladesh Agency Medical Store                             ,BD Agency MED STR                             
Alif Medicine Corner                                        ,Alif MDCN CRNR                                        
Sheba Pharmacy                                              ,Sheba PHAR                                              
Abarar Medicine Corner                                      ,Abarar MDCN CRNR                                      
Shathi Pharmacy                                             ,Shathi PHAR                                             
Faysal Pharmacy                                             ,Faysal PHAR                                             
Sadia Pharmacy                                              ,Sadia PHAR                                              
Tasim Pharmacy                                              ,Tasim PHAR                                              
SKY MEDICAL HALL                                            ,SKY MEDICAL HALL                                            
Maa Pharmacy                                                ,Maa PHAR                                                
Lutfor Drugs                                                ,Lutfor DRGs                                                
M S  Akhanda Pharmacy                                       ,M S  Akhanda PHAR                                       
Unique Pharma                                               ,Unique PHAR                                               
Sara Medicine Corner                                        ,Sara MDCN CRNR                                        
Arman Pharmacy                                              ,Arman PHAR                                              
S D Pharmacy                                                ,S D PHAR                                                
Maa Babar Doya Pharmacy                                     ,Maa Babar Doya PHAR                                     
Sonapur Medical Hall                                        ,Sonapur MED                                          
Sharna Pharmacy                                             ,Sharna PHAR                                             
Sayem Medical Hall                                          ,Sayem MED                                            
Khidma Medical Hall                                         ,Khidma MED                                           
Shikder Pharma                                              ,Shikder PHAR                                              
Himel Medical hall                                          ,Himel MED                                            
Limon Pharmacy                                              ,Limon PHAR                                              
Nadim Pharmacy                                              ,Nadim PHAR                                              
Panacia Pharmacy                                            ,Panacia PHAR                                            
Polash Medical Hall                                         ,Polash MED                                           
Roton Medical Hall                                          ,Roton MED                                            
Sharna Medicare Medico                                      ,Sharna MEDI MEDC                                      
HASSNA PHARMACY                                             ,HASSNA PHARMACY                                             
Jamal Medical Hall                                          ,Jamal MED                                            
